"","date","hosp_census_5_current","hosp_census_95_current","hosp_census_median_current","vent_census_5_current","vent_census_95_current","vent_census_median_current","hosp_admits_5_current","hosp_admits_95_current","hosp_admits_median_current","vent_admits_5_current","vent_admits_95_current","vent_admits_median_current","hosp_census_5_reduction_10","hosp_census_95_reduction_10","hosp_census_median_reduction_10","vent_census_5_reduction_10","vent_census_95_reduction_10","vent_census_median_reduction_10","hosp_admits_5_reduction_10","hosp_admits_95_reduction_10","hosp_admits_median_reduction_10","vent_admits_5_reduction_10","vent_admits_95_reduction_10","vent_admits_median_reduction_10","hosp_census_5_increase_10","hosp_census_95_increase_10","hosp_census_median_increase_10","vent_census_5_increase_10","vent_census_95_increase_10","vent_census_median_increase_10","hosp_admits_5_increase_10","hosp_admits_95_increase_10","hosp_admits_median_increase_10","vent_admits_5_increase_10","vent_admits_95_increase_10","vent_admits_median_increase_10","hosp_census_observed","vent_census_observed","hosp_admits_observed","vent_admits_observed"
"175",2020-08-02,2.86004105150537,16.0484685008196,7.87792899438887,0,4.34851983755133,1.60399103195531,0,5,1,0,1,0,2.82935662633895,15.9326131842674,7.86845337244252,0,4.36829781636211,1.58955917358395,0,5,1,0,1,0,2.83791509652271,16.0376344388734,7.85536223659526,0,4.30386739875638,1.58240441093465,0,5,1,0,1,0,8,NA,1,NA
"176",2020-08-03,3.08933463452207,17.3436140780724,8.2562660602419,0,4.53602117473853,1.70392565404471,0,5,1,0,1,0,3.0501614629179,17.2399315674877,8.26502508709124,0,4.55441914305399,1.69038251583476,0,5,1,0,1,0,3.07462163298487,17.233171130345,8.23790915829607,0,4.51310985628149,1.68855124953792,0,5,1,0,1,0,8,NA,0,NA
"177",2020-08-04,3.28982378017721,18.4899551322865,8.63935437823607,0.070825660178926,4.79844298340372,1.79495891492522,0,5,1,0,2,0,3.31269650544052,18.3914985830867,8.63510448970431,0.0781791774834982,4.75414559429588,1.78610815129912,0,5,1,0,2,0,3.26729331188904,18.4760829884462,8.62230174250917,0.0613969330234367,4.76318566983277,1.78950421398449,0,5,1,0,2,0,9,NA,1,NA
"178",2020-08-05,3.4758307662538,19.3747811292654,8.96887110524964,0.133906307809956,4.94239006838817,1.8964845701048,0,5,1,0,1,0,3.48192056760543,19.355053480521,8.97289364599187,0.147638277503818,4.96254956445666,1.88264055775333,0,5,1,0,2,0,3.50691657186937,19.4244343908765,8.98190368052989,0.122139231381174,4.95296663791653,1.90477954196826,0,5,1,0,2,0,12,NA,4,NA
"179",2020-08-06,3.7214410202181,20.1774068957556,9.28522964141454,0.187696481429302,5.12264025298331,2.00060724169244,0,5,1,0,2,0,3.69566108484876,20.1246718914058,9.3223621461598,0.196348766902958,5.16937765602221,1.97979055842938,0,5,1,0,2,0,3.68787333171315,20.3387291774211,9.29482462074994,0.180896142377473,5.17825328802812,2,0,5,1,0,2,0,12,NA,0,NA
"180",2020-08-07,3.92745352922626,20.80536922295,9.59906144398946,0.235346706539775,5.31984557536511,2.08982005747463,0,5,1,0,2,0,3.90538307842437,20.8633517000795,9.585705531517,0.239696863075787,5.31873752387081,2.08560178125643,0,5,2,0,2,0,3.91441977567351,20.9423102642415,9.62046442797873,0.225294141576089,5.32521040424141,2.09561555874311,0,5,1,0,2,0,10,NA,1,NA
"181",2020-08-08,4.16132551102332,21.4523058905478,9.94875190655353,0.272523536645109,5.48043292395971,2.19557148773915,0,5,2,0,2,0,4.16895577557673,21.4622386131834,9.92061724415304,0.266204536714947,5.52131209281436,2.19197416242631,0,5,2,0,2,0,4.13737965971433,21.5054902958735,9.92169047800424,0.264860441455432,5.48341291139519,2.18999916111874,0,5,2,0,2,0,10,NA,1,NA
"182",2020-08-09,4.32345955256836,21.9439650745097,10.2718155811366,0.301327162783809,5.6478943025516,2.26455057859135,0,5,2,0,2,0,4.3688858767586,21.9081545939192,10.2536956659656,0.294706460178115,5.67818733857124,2.28749978877934,0,5,2,0,2,0,4.34148206377443,21.9060551261401,10.2158170206413,0.293260516967872,5.71020079397144,2.2736891871678,0,5,2,0,2,0,10,NA,0,NA
"183",2020-08-10,4.58318163561772,22.2772138561696,10.5448847286509,0.325139975070924,5.83215257448818,2.3539108835198,0,5,2,0,2,0,4.60911778094439,22.2811671877679,10.5840692810156,0.317835279751301,5.82035317140859,2.35638525830577,0,5,2,0,2,0,4.57747924899886,22.2556360402825,10.5324755660661,0.316553034132026,5.85197060713551,2.3461821769004,0,5,2,0,2,0,11,NA,2,NA
"184",2020-08-11,4.79932544026141,22.4858229823439,10.8712140141307,0.34520137229072,5.94937593912813,2.43782683087204,0,5,2,0,2,0,4.85343098394363,22.5447013585088,10.8943415726247,0.348736667407749,5.93588274756128,2.4370576915882,0,5,2,0,2,0,4.80476148867148,22.4750140877136,10.8231700020951,0.352618183069962,5.97010468905108,2.42718033096297,0,5,2,0,2,0,12,NA,1,NA
"185",2020-08-12,5.01219490098651,22.6914391696212,11.1548795262461,0.376933562110234,6.07806867891642,2.5068046187568,0,5,2,0,2,0,5.01685410806801,22.6462867333834,11.2126197760683,0.366900974172132,6.08587444457018,2.52534504521961,0,5,2,0,2,0,5.04355665680108,22.8140560459988,11.1355657439717,0.392496917862645,6.09929991118331,2.51622315179795,0,5,2,0,2,0,12,NA,0,NA
"186",2020-08-13,5.22367248559586,22.8603964888352,11.4661693774679,0.402527291587218,6.24059257326695,2.58111192931645,0,5,2,0,2,0,5.26725020837244,22.8223572667282,11.5444897508166,0.394502641481266,6.20205542812692,2.60148896618473,0,5,2,0,2,0,5.26676818634576,22.8985946231529,11.5148665470191,0.414181808133786,6.20326125510631,2.5886828850836,0,5,2,0,2,0,10,NA,0,NA
"187",2020-08-14,5.47905581800684,23.0154081043575,11.7988233361052,0.420922514309741,6.34005926960107,2.65160607346123,0,5,2,0,2,0,5.46270806164805,22.8950570133422,11.8380716231599,0.422896476469986,6.3186933600796,2.68298182872383,0,5,2,0,2,0,5.48798670813294,22.9196637097897,11.8414285836654,0.439214819825148,6.3254496674157,2.6782942931584,0,5,2,0,2,0,8,NA,0,NA
"188",2020-08-15,5.73658692536991,23.0869087868889,12.0937507685558,0.447232554715211,6.47291097321981,2.73129644729831,0,5,2,0,2,0,5.75254235658514,23.173278656351,12.1455820790539,0.441150675026193,6.43304834734181,2.75112053310779,0,5,2,0,2,0,5.68804477541365,22.9137063323544,12.1615681431436,0.47149802752173,6.47397846125584,2.74157968636015,0,5,2,0,2,0,11,NA,3,NA
"189",2020-08-16,6.00490740775653,23.1786995953549,12.4882136996141,0.481891214213312,6.60993002466388,2.81499218655827,0,5,2,0,2,0,6.00258848374158,23.2404683212622,12.4978405233165,0.465268149816306,6.53936295919237,2.82334105815992,0,5,2,0,2,0,5.96266436636962,23.0382662733268,12.4799860199334,0.504392440831225,6.56175649016155,2.81692409932679,0,5,2,0,2,0,13,NA,2,NA
"190",2020-08-17,6.24974067158841,23.2387262602693,12.8401263841281,0.525904860213515,6.66011091301204,2.87639514801649,0,5,2,0,2,0,6.26839526808398,23.3666232852261,12.8109383261669,0.495019343285311,6.69364710103827,2.90858808466741,0,5,2,0,2,0,6.1830701774122,23.160615032462,12.8571491977947,0.533808686481774,6.73956068255311,2.89978490548007,0,5,2,0,2,0,14,NA,1,NA
"191",2020-08-18,6.5055789892054,23.3839254481471,13.1533941657212,0.551644226679728,6.86488896781217,2.97561804522793,0,5,2,0,2,0,6.50906808560955,23.4212427025774,13.1726533487063,0.53294738997833,6.82146635121611,2.96873384747075,0,5,2,0,2,0,6.42574006045454,23.3752496616816,13.1886704330488,0.557903403868963,6.89797195924029,2.97161532455934,0,5,2,0,2,0,12,NA,0,NA
"192",2020-08-19,6.75171459408823,23.4885833972607,13.5037327007053,0.583808862669938,6.99789139277382,3.0353405650773,0,5,2,0,2,0,6.70697492102459,23.6059428851701,13.4922893948534,0.584441933114008,6.96452222320761,3.05316204277362,0,5,2,0,2,0,6.72232552005413,23.4518139984537,13.5244518771793,0.584664765088751,7.05092662279943,3.03672439694517,0,5,2,0,2,0,14,NA,3,NA
"193",2020-08-20,7.01190317441945,23.6323062835092,13.8437495219682,0.621402333800221,7.12212583336069,3.11560761597783,0,5,2,0,2,0,6.99997411379368,23.7652078896796,13.786833318974,0.607599702480542,7.06532104570992,3.12224256186149,0,5,2,0,2,0,7.00367516589653,23.6532876403502,13.8275244823222,0.61933332484295,7.16948730107391,3.09641916836822,0,5,2,0,2,0,13,NA,0,NA
"194",2020-08-21,7.30280853233298,23.7179979542945,14.1227428133134,0.655949125000562,7.31952181979684,3.18457816991713,0,5,2,0,2,0,7.30360971444888,24.0207633526709,14.1111393600392,0.621836109804682,7.26873452658638,3.20852985956558,0,5,2,0,2,0,7.26057948303004,23.8405693542647,14.1671878477525,0.651619525843348,7.28430887031672,3.16612755031294,0,5,2,0,2,0,14,NA,2,NA
"195",2020-08-22,7.52659543717419,23.945679900754,14.4682359672266,0.696219116036377,7.41040690257085,3.25730184032443,0,5,2,0,2,0,7.59598118981769,24.2272727405394,14.4729751581787,0.647209083883868,7.3818628307986,3.27849059159939,0,5,2,0,2,0,7.5672718453681,23.9951352708743,14.4721803450007,0.694892758596802,7.4353638816477,3.23380894656398,0,5,2,0,2,0,12,NA,0,NA
"196",2020-08-23,7.83828817784615,24.1220283046352,14.7940327074392,0.722196353332037,7.57648586674299,3.32695637276223,0,5,2,0,2,0,7.88348584401305,24.3138788237745,14.7667256463677,0.712741791266512,7.56185821454835,3.32905659222909,0,5,2,0,2,0,7.89547927682894,24.1223042839491,14.7901134749712,0.735151673898537,7.5718087711557,3.28915812498026,0,5,2,0,2,0,12,NA,1,NA
"197",2020-08-24,8.12880450724534,24.3203146581483,15.0238226994482,0.74406372072086,7.74553678209992,3.39160222159153,0,5,2,0,2,0,8.16827368485117,24.4527177448468,15.0342096299509,0.732236856041522,7.71383713650191,3.39811180095415,0,5,2,0,2,0,8.16820036539565,24.3713086079887,15.0579174236455,0.751287457357258,7.73100443995017,3.39130200432873,0,5,2,0,2,0,11,NA,1,NA
