"","date","observed_cumulative_cases","observed_active_cases","observed_cumulative_deaths","observed_new_cases","observed_daily_average_cases","observed_new_episodes","observed_new_cases_community_outbreak","observed_new_cases_institution_outbreak","observed_new_cases_sporadic","observed_new_ICU_p_acute_care","observed_census_ICU","observed_census_ICU_p_acute_care","observed_census_acute_care","observed_new_deaths","cumulative_hosp","observed_new_community_cases","num_non_ltch_tests","non_ltch_pct_positivity","num_ltch_tests","ltch_pct_positivity","observed_pct_positivity","pct_positivity_7_day","adjusted_new_episodes","adjusted_active_cases","adjusted_episode_cases"
"290",2020-12-15,9309,534,379,54,43.3,46,1,7,37,1,1,20,19,1,562,38,2079,0.0134700000286102,49,0,1.31598355542672,1.30932050589635,45.7126703907105,544.014894437879,46
"291",2020-12-16,9364,552,379,53,45.7,55,3,4,47,0,1,18,17,0,562,50,2312,0.0168700003623962,94,0,1.62109064164007,1.4062898720293,55.1551329163957,564.752667397009,55
"292",2020-12-17,9401,547,380,61,45.9,37,1,5,29,1,0,17,17,1,563,30,3207,0.0134099996089935,83,0.0241000008583069,1.36796865706023,1.41370383368059,35.5848601862642,557.66395072955,37
"293",2020-12-18,9442,534,380,25,42.6,41,3,4,34,0,0,16,16,0,563,37,3298,0.00727999985218048,170,0.00587999999523163,0.72113724082124,1.34976259960291,41.3802544494482,539.487996648793,41
"294",2020-12-19,9481,531,380,46,40.7,39,1,6,29,3,0,19,19,0,566,30,2799,0.0117900002002716,140,0,1.12283805922287,1.28834595425765,36.4800572535579,539.497013387975,39
"295",2020-12-20,9525,525,380,24,39.9,44,5,2,34,0,0,16,16,0,566,39,1360,0.0161800003051758,51,0,1.55951810170369,1.34518424700828,41.8667816002644,536.668213849713,44
"296",2020-12-21,9600,547,380,22,40.7,75,7,8,60,1,0,15,15,0,567,67,1365,0.00658999979496002,32,0.03125,0.715486737302822,1.20343185616823,75.6831735553625,552.577551265422,75
"297",2020-12-22,9684,591,380,73,43.4,84,5,7,70,2,0,15,15,0,569,75,3021,0.0225099992752075,48,0,2.21579367254486,1.33197615861368,84.368346477383,609.662570241778,84
"298",2020-12-23,9784,658,380,52,43.3,100,5,6,88,1,1,13,12,0,570,93,2652,0.0199800002574921,199,0.0150800001621246,1.96379799070964,1.38093435133791,101.602761754359,676.415239079228,100
"299",2020-12-24,9859,685,380,49,41.6,75,11,6,56,2,1,13,12,0,572,67,3469,0.01557000041008,144,0,1.49494413015686,1.39907370463743,74.427428690457,699.593860491986,75
"300",2020-12-25,9925,717,380,47,44.7,66,6,3,56,0,1,10,9,0,572,62,2537,0.0295600008964539,161,0,2.77960423551903,1.69314041816568,67.456005363311,745.402513636999,66
"301",2020-12-26,10018,760,380,95,51.7,93,5,5,82,2,2,12,10,0,574,87,951,0.0199800002574921,50,0,1.89819982466284,1.80390638465711,94.353508863042,780.559387769103,93
"302",2020-12-27,10128,824,381,37,53.6,110,8,6,94,2,4,12,8,1,576,102,1480,0.0270300006866455,32,0.0625,2.77806885028012,1.97798506302517,112.038293065612,856.623073392785,110
"303",2020-12-28,10260,918,381,65,59.7,132,15,7,108,1,2,13,11,0,577,123,1188,0.04125,39,0.0256399989128113,4.07538385962507,2.45797036621406,137.143783579281,971.317018908777,132
"304",2020-12-29,10381,996,381,112,65.3,121,5,15,101,3,4,12,8,0,580,106,1880,0.0505299997329712,25,0.04,5.03918107600976,2.8613114238519,128.612380467867,1067.52765043392,121
"305",2020-12-30,10518,1087,381,88,70.4,137,12,10,115,3,5,13,8,0,583,127,2458,0.0573600006103516,62,0,5.59487625000969,3.3800368894662,147.126255069267,1173.6711752779,137
"306",2020-12-31,10643,1174,381,147,84.4,125,0,9,116,2,5,13,8,0,585,116,2652,0.0331800007820129,144,0,3.14711595400208,3.6160614357298,130.20265934389,1226.6545006011,125
"307",2021-01-01,10760,1229,382,87,90.1,117,0,5,111,2,6,13,7,1,587,111,2759,0.0391400003433228,134,0.0149300003051758,3.80186246070242,3.76209832504171,122.014146968304,1295.5890686851,117
"308",2021-01-02,10873,1290,382,134,95.7,113,2,8,101,2,6,15,9,0,589,103,2369,0.0295499992370605,431,0,2.50014100687844,3.84808992250108,114.669918203768,1335.96305323166,113
"309",2021-01-03,10996,1317,383,106,105.6,123,0,5,118,4,5,19,14,1,593,118,1516,0.0600299978256226,126,0.0238100004196167,5.72506313986088,4.26908910672691,132.627575756079,1424.45353619285,123
"310",2021-01-04,11171,1429,383,117,113,175,4,30,140,5,8,21,13,0,598,144,1386,0.0533900022506714,155,0.00644999980926514,4.86685873393035,4.38215694591337,183.987709204151,1528.11414203286,175
"311",2021-01-05,11312,1502,385,105,112,141,2,19,120,6,8,23,15,2,604,122,2417,0.0575099992752075,97,0.0103100001811981,5.56888378145397,4.45782876097683,150.68239156273,1621.20452563296,141
"312",2021-01-06,11495,1596,385,132,118.3,183,11,42,129,7,7,28,21,0,611,140,2627,0.0513899993896484,211,0.0142200005054474,4.86264793880394,4.35322471651887,191.701871531357,1706.60133545747,183
"313",2021-01-07,11613,1633,385,186,123.9,118,2,7,108,6,9,32,23,0,617,110,2311,0.048899998664856,91,0.0109899997711182,4.74637747267502,4.58169064775786,124.440628404908,1743.45951077467,118
"314",2021-01-08,11743,1662,385,185,137.9,130,6,13,110,0,11,30,19,0,617,116,2661,0.0368300008773804,249,0,3.36785678126149,4.51968983640915,134.567577365439,1741.7699446669,130
"315",2021-01-09,11841,1671,387,155,140.9,98,6,2,90,4,11,30,19,2,621,96,3020,0.0324499988555908,375,0.00266999989748001,2.91606027998348,4.57910687542416,101.989535987583,1740.44286078387,98
"316",2021-01-10,11933,1655,387,114,142,92,5,3,82,5,11,34,23,0,626,87,1824,0.0509899997711182,78,0,4.88989272252995,4.45979681580546,96.0627999814736,1770.33257436022,92
"317",2021-01-11,12097,1707,387,66,134.7,164,2,25,135,3,13,34,21,0,629,137,1608,0.0342000007629395,115,0,3.1917354165297,4.22049348474822,168.23163641457,1784.6452799976,164
"318",2021-01-12,12237,1735,388,161,142.7,140,1,22,115,4,13,35,22,1,633,116,2211,0.0705600023269653,74,0.0135099995136261,6.87124311198812,4.40654481768167,149.359205603869,1904.89846312684,140
"319",2021-01-13,12325,1723,392,172,148.4,88,0,9,75,3,11,35,24,4,636,75,2532,0.0375200009346008,173,0.0115600001811981,3.58597125315181,4.22416243401708,87.8328579464011,1811.05352322199,88
"320",2021-01-14,12417,1711,392,128,140.1,92,2,14,75,9,10,41,31,0,645,77,2581,0.0337100005149841,146,0,3.19052113418313,4.00189724280395,94.5011200899825,1788.79761654494,92
"321",2021-01-15,12511,1681,394,145,134.4,94,6,7,79,5,11,41,30,2,650,85,2923,0.0372900009155273,206,0.00485000014305115,3.51542897748657,4.02297898512182,96.2584535119912,1765.21718063126,94
"322",2021-01-16,12573,1635,395,119,129.3,62,0,0,60,2,9,39,30,1,652,60,2470,0.0323900008201599,289,0,2.89972098679938,4.02064480038124,62.4794886164983,1702.56606479958,62
"323",2021-01-17,12653,1576,397,72,123.3,80,2,3,72,2,9,39,30,2,654,74,2036,0.026029999256134,32,0,2.56272139678379,3.68819175384607,79.7026373307619,1633.55887072001,80
"324",2021-01-18,12774,1597,398,63,122.9,121,2,45,72,7,10,43,33,1,661,74,1021,0.0391799998283386,48,0,3.74207481990025,3.7668116686133,122.946379468115,1682.1671352781,121
"325",2021-01-19,12848,1541,405,81,111.4,74,3,24,47,8,9,45,36,7,669,50,2337,0.0410799980163574,89,0,3.95729412053698,3.35053324126313,76.8198304160628,1627.90717342306,74
"326",2021-01-20,12909,1500,405,166,110.6,61,1,9,49,2,7,37,30,0,671,50,3065,0.0225099992752075,163,0.00612999975681305,2.16828803404187,3.14800706710457,60.5450467827109,1546.35140348133,61
"327",2021-01-21,12980,1467,407,81,103.9,71,1,9,60,3,7,37,30,2,674,61,2636,0.0242799997329712,117,0,2.32481217929939,3.02433435926403,72.0210281551166,1515.6040705501,71
"328",2021-01-22,13061,1439,408,95,96.7,81,1,4,75,5,6,37,31,1,679,76,2311,0.0307200002670288,111,0.00901000022888184,2.97250332958338,2.94677355242072,83.2195160806481,1499.95899526385,81
"329",2021-01-23,13109,1372,408,84,91.7,48,1,4,40,4,9,39,30,0,683,41,2122,0.0329900002479553,276,0,2.91929860409346,2.9495703548913,46.7057564922533,1429.08043676516,48
"330",2021-01-24,13155,1291,409,44,87.7,46,2,9,35,3,8,38,30,1,686,37,1247,0.0224499988555908,36,0,2.18200690357925,2.8951825701478,47.1505685559489,1331.14551366838,46
"331",2021-01-25,13218,1232,409,29,82.9,63,1,18,43,4,7,39,32,0,690,44,825,0.0206100010871887,48,0,1.94768051511233,2.63884052660667,63.2213075801797,1266.19661224503,63
"332",2021-01-26,13281,1171,410,74,81.9,63,1,19,41,8,5,40,35,1,698,42,2354,0.024210000038147,79,0,2.34238964610761,2.40813988740247,62.4020486600459,1210.09045192652,63
"333",2021-01-27,13359,1132,412,80,69.6,78,1,26,50,1,4,30,26,2,699,51,2800,0.0196399998664856,175,0.00570999979972839,1.88205880978528,2.36724999822296,78.3679115691936,1162.362272477,78
"334",2021-01-28,13397,1071,412,66,67.4,38,1,3,33,3,5,30,25,0,702,34,2355,0.0212299990653992,209,0.0287100005149841,2.18397183723271,2.34712994935629,38.0582313111617,1104.33428630159,38
"335",2021-01-29,13427,970,412,73,64.3,30,1,2,27,3,4,31,27,0,705,28,2847,0.0122899997234344,180,0.00555999994277954,1.18898015204222,2.09234092399327,30.4744465498477,986.436184048294,30
