,date,hosp_census_5_current,hosp_census_95_current,hosp_census_median_current,vent_census_5_current,vent_census_95_current,vent_census_median_current,hosp_admits_5_current,hosp_admits_95_current,hosp_admits_median_current,vent_admits_5_current,vent_admits_95_current,vent_admits_median_current,hosp_census_5_reduction_10,hosp_census_95_reduction_10,hosp_census_median_reduction_10,vent_census_5_reduction_10,vent_census_95_reduction_10,vent_census_median_reduction_10,hosp_admits_5_reduction_10,hosp_admits_95_reduction_10,hosp_admits_median_reduction_10,vent_admits_5_reduction_10,vent_admits_95_reduction_10,vent_admits_median_reduction_10,hosp_census_5_increase_10,hosp_census_95_increase_10,hosp_census_median_increase_10,vent_census_5_increase_10,vent_census_95_increase_10,vent_census_median_increase_10,hosp_admits_5_increase_10,hosp_admits_95_increase_10,hosp_admits_median_increase_10,vent_admits_5_increase_10,vent_admits_95_increase_10,vent_admits_median_increase_10
392,2021-08-03,0.9847003487194421,26.35499212655243,3.90102502834592,0.015519828692483483,7.0177063540635345,1.0570870843954874,0.0,3.0,0.0,0.0,1.0,0.0,0.0036933481162003787,5.33117706546732,0.6442550584379876,1.0583803344573505e-06,1.2134319966184324,0.08540074361208458,0.0,1.0,0.0,0.0,0.0,0.0,4.987460648550472,212.23279756476614,14.878010107695603,0.4156413510760367,53.411423027624615,3.656794782987597,0.0,25.0,2.0,0.0,6.0,0.0
393,2021-08-04,0.9538924045297159,26.23221618440857,3.857296189202554,0.014454276775268856,7.040987205447416,1.0432349629048048,0.0,3.0,0.0,0.0,1.0,0.0,0.003229619101876504,5.274885740221042,0.6209986493556948,8.781291851352291e-07,1.1889323763384356,0.08101421522350938,0.0,1.0,0.0,0.0,0.0,0.0,4.881637191600895,213.6861277536932,14.827227185700085,0.4090835079342583,53.849482602824786,3.638677345641435,0.0,25.0,2.0,0.0,6.0,0.0
394,2021-08-05,0.9415627642166613,26.274877682002344,3.786321913165145,0.013932913554630322,7.055683627810905,1.0354393010706988,0.0,3.0,0.0,0.0,1.0,0.0,0.002855130511099868,5.170179867230953,0.6034606968458676,7.420401501392295e-07,1.1753073732028105,0.07706953708653055,0.0,1.0,0.0,0.0,0.0,0.0,4.8736614665749425,216.07122353304996,14.73925795803404,0.4028147063497803,54.607088219971935,3.6051868955625412,0.0,26.0,2.0,0.0,6.0,0.0
395,2021-08-06,0.931012474775127,26.238416661245175,3.7473876826187613,0.013085551807542973,7.005453900430185,1.0229364666705336,0.0,3.0,0.0,0.0,1.0,0.0,0.0025556188806377667,5.0956012574668215,0.5908365089926915,6.224429347721559e-07,1.1680222369652504,0.0720073692339882,0.0,1.0,0.0,0.0,0.0,0.0,4.897514659811306,218.42641463260608,14.738461916933783,0.3927818196530591,55.44679447528319,3.595938945134368,0.0,26.0,2.0,0.0,6.0,0.0
396,2021-08-07,0.9120001380948658,26.091675591663652,3.6989160268966206,0.012546149333100245,6.975940333549465,1.0163692786032992,0.0,3.0,0.0,0.0,1.0,0.0,0.0023080861382788827,5.097601616503342,0.5681312482639104,5.22757893360939e-07,1.143796670620302,0.06794122918118539,0.0,1.0,0.0,0.0,0.0,0.0,4.818857880699364,220.789916070933,14.566142593089957,0.39497118712957585,55.85836924651051,3.5573580141433414,0.0,26.0,2.0,0.0,6.0,0.0
397,2021-08-08,0.8687433829451858,26.125277051938028,3.6350809322223236,0.011735308180520754,6.9800826981945265,1.0009596746894844,0.0,3.0,0.0,0.0,1.0,0.0,0.002041386085625527,5.023183458089767,0.5512084611852429,4.4516762461593215e-07,1.1370424563543244,0.06403695910624782,0.0,1.0,0.0,0.0,0.0,0.0,4.722521333614448,223.1361952703379,14.528696265027286,0.38455444616639634,56.2306674039092,3.539725935959099,0.0,26.0,2.0,0.0,6.0,0.0
398,2021-08-09,0.8476944728277171,26.001659452842617,3.611129887374837,0.011208268042457552,6.979948595907854,0.9902150046520168,0.0,3.0,0.0,0.0,1.0,0.0,0.0017850329803708726,4.981872861488685,0.5206570924836775,3.845920919579759e-07,1.1185462953258012,0.060134463676446454,0.0,1.0,0.0,0.0,0.0,0.0,4.675810481715888,225.74470130444055,14.383058406159297,0.37843687476620314,56.87186020223467,3.5304944666120512,0.0,27.0,2.0,0.0,7.0,0.0
399,2021-08-10,0.8299342199509917,25.96853890876051,3.546315502848719,0.010697018301844873,6.927932640182798,0.9695943771973935,0.0,3.0,0.0,0.0,1.0,0.0,0.0015692322002939193,4.9089327252554655,0.5058607366646585,3.2882076538385164e-07,1.1075607922568926,0.05695461029101828,0.0,1.0,0.0,0.0,0.0,0.0,4.652074333103504,227.55452533054333,14.333262604917365,0.3734807334930271,57.212063531431305,3.5340547564728664,0.0,27.0,2.0,0.0,7.0,0.0
400,2021-08-11,0.8007653620227535,26.015247575283368,3.5344007526439754,0.010029834498723566,6.961160431052133,0.9487118153672103,0.0,3.0,0.0,0.0,1.0,0.0,0.0013717966192019072,4.833627161138207,0.49386670207911326,2.7851161442769145e-07,1.084972790762073,0.05361903624962237,0.0,1.0,0.0,0.0,0.0,0.0,4.5886164335102375,229.44824943395793,14.209432031799505,0.372289493208063,57.65821426860905,3.479599611194126,0.0,27.0,2.0,0.0,7.0,0.0
401,2021-08-12,0.769313348682524,25.870728813276095,3.4744314196856285,0.009216598390125563,6.918682191769132,0.9317022468693588,0.0,3.0,0.0,0.0,1.0,0.0,0.0012000948681001261,4.8006813464689895,0.4805467777516491,2.3243467631037624e-07,1.077730579939887,0.05036247763322898,0.0,1.0,0.0,0.0,0.0,0.0,4.553176252012954,231.169973188301,14.056392138317213,0.3646922696279246,58.4044679551115,3.473985570659489,0.0,27.0,2.0,0.0,7.0,0.0
